timeOpen,residuals
2022-10-14,85.20659938932722
2022-10-15,203.49291837294325
2022-10-16,151.47852355969445
2022-10-17,-272.6298224349039
2022-10-18,99.47331519430826
2022-10-19,-287.48814785415266
2022-10-20,-174.5888198818298
2022-10-21,520.0361650099395
2022-10-22,-289.5982430502022
2022-10-23,-260.31215120215245
2022-10-24,218.4102282779085
2022-10-25,-1128.7764864671733
2022-10-26,431.64964651039156
2022-10-27,-34.70762087660415
2022-10-28,-103.74550694152826
2022-10-29,386.70327190004707
2022-10-30,-300.20645033132
2022-10-31,-189.45983742125762
2022-11-01,-72.98126384346227
2022-11-02,-772.8478484901922
2022-11-03,97.20711466990744
2022-11-04,-261.17440250915973
2022-11-05,-523.0535919933636
2022-11-06,321.6471964621198
2022-11-07,-83.95343548561475
2022-11-08,-481.4243277758849
2022-11-09,232.29910162679053
2022-11-10,201.2729168136477
2022-11-11,345.76606184572745
2022-11-12,169.6426475221609
2022-11-13,133.98492867689848
2022-11-14,-9.808191228457108
2022-11-15,-328.1400771371463
2022-11-16,-619.1040814065452
2022-11-17,103.02444386509134
2022-11-18,-1557.8132871349226
2022-11-19,88.7859698162761
2022-11-20,-301.3736636256857
2022-11-21,-234.04368961377284
2022-11-22,76.70735531050882
2022-11-23,610.354492576161
2022-11-24,322.1968856692449
2022-11-25,116.65384943904189
2022-11-26,-574.6622202737497
2022-11-27,105.03363380775224
2022-11-28,97.08652231180628
2022-11-29,541.4725562446434
2022-11-30,211.98150030438632
2022-12-01,223.07361275490035
2022-12-02,435.6277019252939
2022-12-03,-644.2487964183805
2022-12-04,-780.0558908738016
2022-12-05,727.3938469237706
2022-12-06,-403.17324099782934
2022-12-07,-332.909437703949
2022-12-08,731.4257946087993
2022-12-09,895.5297641511288
2022-12-10,-235.55750950088697
2022-12-11,189.45398568220176
2022-12-12,324.75675443551506
2022-12-13,199.47709599257144
2022-12-14,-147.86566825731316
2022-12-15,-297.68068749045574
2022-12-16,260.53725934221467
2022-12-17,452.44970721782545
2022-12-18,-125.9297604565473
2022-12-19,254.70252437353523
2022-12-20,64.74174572963949
2022-12-21,-20.187117344298464
2022-12-22,-84.50663813511741
2022-12-23,189.3627523477914
2022-12-24,-134.97958450008684
2022-12-25,-208.3599679163118
2022-12-26,-160.61382156815506
2022-12-27,-263.44743985392057
2022-12-28,45.087291272743016
2022-12-29,-309.37777561306154
2022-12-30,87.52484033283586
2022-12-31,725.1697218457427
2023-01-01,-391.5166375106746
2023-01-02,2.2973406738639404
2023-01-03,367.15287114566
2023-01-04,289.6243633010079
2023-01-05,1031.9248389320471
2023-01-06,-229.24995457897265
2023-01-07,-352.06589528838225
2023-01-08,204.13465120265045
2023-01-09,558.642734004241
2023-01-10,-213.41802889876968
2023-01-11,136.4926937493838
2023-01-12,-175.33185935495916
2023-01-13,-507.5001258878611
2023-01-14,43.561417058784755
2023-01-15,545.5822793719898
2023-01-16,-283.91871358686467
2023-01-17,74.04276067445129
2023-01-18,73.75670086621115
2023-01-19,-90.85405129602208
2023-01-20,-1086.5630134431879
2023-01-21,80.76567250877318
2023-01-22,-373.74402207311897
2023-01-23,341.9509372798763
2023-01-24,151.7710049857471
2023-01-25,-22.272432324659967
2023-01-26,220.41229423455536
2023-01-27,-452.5058315197338
2023-01-28,283.5915814222427
2023-01-29,69.81507577315108
2023-01-30,-95.88883642528253
2023-01-31,-522.6042202346563
2023-02-01,-317.74466828155664
2023-02-02,628.1814037331161
2023-02-03,-361.3011366594483
2023-02-04,-34.42348197852188
2023-02-05,-469.9844691864908
2023-02-06,668.5399706310229
2023-02-07,-185.38401217740673
2023-02-08,-96.4073550424857
2023-02-09,-196.06522044610196
2023-02-10,320.90480323089565
2023-02-11,1782.2667666385248
2023-02-12,-42.6001653876614
2023-02-13,-138.9736775055364
2023-02-14,-596.1279837167318
2023-02-15,-678.5342524367893
2023-02-16,110.74268977347265
2023-02-17,-2.9799594344715548
2023-02-18,-103.88561077350903
2023-02-19,-11.12376154275182
2023-02-20,928.2780751596151
2023-02-21,-1077.490412314852
2023-02-22,998.4977726214985
2023-02-23,-58.564586059444444
2023-02-24,-174.13515270214145
2023-02-25,265.09591382484217
2023-02-26,-236.84479867243917
2023-02-27,691.4886087170913
2023-02-28,98.6077442530663
2023-03-01,269.7038788731297
2023-03-02,-271.71281823436806
2023-03-03,-86.4976698356851
2023-03-04,186.95524641397228
2023-03-05,515.5138602701378
2023-03-06,-59.8056344461035
2023-03-07,576.0161158514226
2023-03-08,178.07678946991447
2023-03-09,475.69467891848893
2023-03-10,282.81205036952304
2023-03-11,-124.26753773295086
2023-03-12,-504.3161375382237
2023-03-13,58.104443742428636
2023-03-14,-207.13191912891506
2023-03-15,332.5612258527311
2023-03-16,61.05348505461568
2023-03-17,-31.607604752613014
2023-03-18,339.93505579298755
2023-03-19,11.798871150545214
2023-03-20,-210.00765529638835
2023-03-21,-427.7578647146005
2023-03-22,22.287857916120586
2023-03-23,179.38302452279245
2023-03-24,179.434710758962
2023-03-25,-247.6139887765512
2023-03-26,-946.2291196465065
2023-03-27,133.58400678994184
2023-03-28,745.26468391066
2023-03-29,544.348348998696
2023-03-30,-266.63746507638115
2023-03-31,-190.69882484719702
2023-04-01,-624.474441249175
2023-04-02,166.84971227267772
2023-04-03,-667.3117942277987
2023-04-04,389.33977185806043
2023-04-05,-369.6762553372744
2023-04-06,33.997680454955244
2023-04-07,414.94668783288677
2023-04-08,200.9550411658923
2023-04-09,477.2977960955994
2023-04-10,-98.26576849388731
2023-04-11,447.32779483278557
