timeOpen,trend
2022-10-14,19270.294222773002
2022-10-15,19266.21525678088
2022-10-16,19261.965924897027
2022-10-17,19257.62421817803
2022-10-18,19254.472912572703
2022-10-19,19254.878790937488
2022-10-20,19261.804262323672
2022-10-21,19303.528368336425
2022-10-22,19374.21788029046
2022-10-23,19477.671617377968
2022-10-24,19614.353035820663
2022-10-25,19778.350217937714
2022-10-26,19952.32492484853
2022-10-27,20118.2949267673
2022-10-28,20263.07738928756
2022-10-29,20374.597113512376
2022-10-30,20446.490575475986
2022-10-31,20472.505983929976
2022-11-01,20449.30521772071
2022-11-02,20388.474512911787
2022-11-03,20252.008850100094
2022-11-04,19982.85171172398
2022-11-05,19680.677335938526
2022-11-06,19352.30907651211
2022-11-07,19017.988307280273
2022-11-08,18688.860948632562
2022-11-09,18369.622735812067
2022-11-10,18002.824269525714
2022-11-11,17622.119371536057
2022-11-12,17338.243135726687
2022-11-13,17120.92035555328
2022-11-14,16949.4994470382
2022-11-15,16821.134635355655
2022-11-16,16736.056357844634
2022-11-17,16667.081487625845
2022-11-18,16609.233585291582
2022-11-19,16563.394342588206
2022-11-20,16530.75516358438
2022-11-21,16506.08619191444
2022-11-22,16482.644690539626
2022-11-23,16458.775476279716
2022-11-24,16435.27715391725
2022-11-25,16426.47103247588
2022-11-26,16450.500541331698
2022-11-27,16506.20626141268
2022-11-28,16574.694157817943
2022-11-29,16638.923999311217
2022-11-30,16698.678123837213
2022-12-01,16761.616013674564
2022-12-02,16831.372707983064
2022-12-03,16902.132697579196
2022-12-04,16966.18194419905
2022-12-05,17013.07720190103
2022-12-06,17039.927341219314
2022-12-07,17054.905598539615
2022-12-08,17072.568625369415
2022-12-09,17101.86426131144
2022-12-10,17147.88666124184
2022-12-11,17198.405036465047
2022-12-12,17224.980028396196
2022-12-13,17215.39330267411
2022-12-14,17179.20165211802
2022-12-15,17128.291851149817
2022-12-16,17077.891036731326
2022-12-17,17026.76756095862
2022-12-18,16963.39024384344
2022-12-19,16888.530727230533
2022-12-20,16825.543909331245
2022-12-21,16792.9079525741
2022-12-22,16788.310081751835
