kind
etag
nextPageToken
pageInfo.totalResults
pageInfo.resultsPerPage
items.kind
items.etag
items.id
items.snippet.videoId
items.snippet.topLevelComment.kind
items.snippet.topLevelComment.etag
items.snippet.topLevelComment.id
items.snippet.topLevelComment.snippet.videoId
items.snippet.topLevelComment.snippet.textDisplay
items.snippet.topLevelComment.snippet.textOriginal
items.snippet.topLevelComment.snippet.authorDisplayName
items.snippet.topLevelComment.snippet.authorProfileImageUrl
items.snippet.topLevelComment.snippet.authorChannelUrl
items.snippet.topLevelComment.snippet.authorChannelId.value
items.snippet.topLevelComment.snippet.canRate
items.snippet.topLevelComment.snippet.viewerRating
items.snippet.topLevelComment.snippet.likeCount
items.snippet.topLevelComment.snippet.publishedAt
items.snippet.topLevelComment.snippet.updatedAt
items.snippet.canReply
items.snippet.totalReplyCount
items.snippet.isPublic
