100,12,sequential
100,22,parallel
100,9,fox
300,39,sequential
300,49,parallel
300,21,fox
500,161,sequential
500,76,parallel
500,60,fox
1000,1206,sequential
1000,417,parallel
1000,347,fox
1500,11208,sequential
1500,3877,parallel
1500,1742,fox
2000,29945,sequential
2000,10125,parallel
2000,5890,fox
